V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
2,3768.675024,7881.664624,3831.45298,3930.35685,858.0579375,819.9502886,925.4731895,888.4923665,727.8805322,689.2105045,655.5410586,614.5429963
3,3434.703862,4364.046166,1806.692853,1275.011292,794.8022721,729.6554976,811.743485,759.6320908,707.5688713,667.7209293,645.0373016,608.1583067
5,3214.514158,3625.520433,1667.441732,1881.897709,780.0899326,751.0481049,822.9677472,708.2839761,651.1423713,667.1660789,645.220963,611.9540559
6,3897.039018,739.9717196,542.6493237,532.7887045,781.6977708,735.3686506,959.5079092,751.3616461,656.499654,671.2320747,657.4543385,619.8893885
11,118246.8481,55688.20595,13535.03548,9051.321521,7.15660817,2.727108326,2.440869177,2.236580545,2.025789381,1.706152173,1.982199821,1.499713596
12,2983.85858,2387.16376,1178.563512,1310.102259,976.39419,882.2292386,957.8850623,892.5463876,755.2983975,679.8197112,652.6901482,619.3351122
13,56476.09858,23694.13861,10520.33938,3821.858875,970.7968416,1.508099664,1.852365984,1.425025338,1.316741814,1.339946487,1.33290756,1.296348958
15,2521.343367,3441.11975,1570.121245,1568.110134,748.5572778,747.6028315,755.7788976,639.0651865,637.3523811,638.863336,636.3172544,606.6883006
18,2654.988025,3251.983636,1075.90668,1243.807222,743.5848477,715.8626191,778.6319657,647.3094064,643.2217026,642.1389305,638.7066248,607.0243539
21,2563.912235,1907.748778,1451.804686,1205.354433,821.4014305,784.1343285,856.0039027,813.5640874,714.4046823,662.6380165,626.4604887,609.5874242
25,98450.56352,38387.22878,19342.75936,10696.57654,5009.886241,3.294048767,2.158492671,2.2325512,2.562600718,2.14637453,1.952402004,1.504598782
26,2602.753551,1617.469537,1045.052315,981.2448843,755.576329,748.301522,749.0356828,638.567451,635.9717132,638.5986004,598.7650061,469.0726791
41,4434.248136,2916.906769,1460.677078,1170.969449,819.325295,796.5714472,1012.435274,832.1421769,727.5414537,672.7030888,647.0031219,615.2384832
43,15519.27771,12654.38354,5512.472595,3270.010929,961.4400171,846.196684,1224.793746,980.9482911,812.5516261,748.7615581,885.4290252,762.3281956
46,17600.77179,6500.542805,3227.797684,1902.860393,2248.409782,2057.641057,1561.397085,1443.386193,1269.668273,1090.591826,783.9621382,652.5820464
47,11171.97939,18148.47314,8427.950468,5702.109224,2198.713666,1301.208154,1385.990988,1007.707584,921.0482612,979.6772048,723.6245139,657.9733824
52,2524.347246,1518.822434,913.1932284,886.2123043,754.4280485,747.2623633,750.1240931,639.0651865,636.4969281,638.6619861,619.0129021,605.2340611
54,15965.94808,12427.78057,1990.692642,1331.480399,2.010406967,1.689562565,1.847995332,1.596319663,1.444686545,1.3018458,1.197985471,1.187758356
58,5286.51071,10710.3994,4868.459727,4710.166539,1565.003165,1246.677644,1123.803729,937.91385,954.8850481,923.3046839,694.2543785,635.1566658
60,6902.564139,10394.82611,5786.852219,3102.781579,1821.560068,1626.473317,1529.399728,1174.690337,1114.445176,1007.337675,945.8829794,804.3860395
65,4072.234428,3400.193323,1410.182812,1051.165373,1.560900954,1.303106894,1.241806165,1.234079707,1.165151277,1.135269714,1.136116092,1.092676379
66,3204.688698,1602.645387,1342.746654,1390.672392,791.8919032,760.8970559,797.1403015,703.4407054,650.1744915,663.1735642,625.5049996,608.1437094
70,2804.066252,5719.358869,3039.815496,2775.205042,1391.253315,1076.157909,956.3482463,842.746478,819.15226,834.4960897,648.4661509,614.9558836
71,2733.594052,1748.364031,929.0427144,920.9905379,789.9578072,752.3812927,800.2437707,654.9327392,644.3827445,574.0726104,1.148394111,1.09984969
73,11470.58999,4196.228799,3485.494757,3215.78949,1157.951246,798.2229482,1.494637166,1.636246029,1.458108214,1.399854477,1.198260654,1.153929248
74,3166.337006,641.000601,385.6705792,378.9075454,771.6154074,721.1976021,811.1289953,707.5728578,650.2550687,666.1083136,626.7037682,610.6537211
75,2482.997212,995.7441123,636.1501262,720.0071685,752.2785185,735.4792014,733.9561332,639.303184,636.7164291,638.6586457,618.9990036,603.7348421
79,2634.66201,1085.255837,729.4946422,617.5863282,747.1725702,743.0724089,807.2569244,652.206969,643.0256586,644.6451573,621.7722271,608.2833648
84,5719.19599,835.6971045,713.8755195,573.1800319,784.9206694,771.8619612,1021.255486,730.7503264,646.3109525,1.157606615,1.17188702,1.125196408
89,3589.235742,4945.1617,3082.958357,2736.497761,805.1892084,737.6354535,738.6371722,695.2727453,646.6119244,658.3740605,641.462687,551.7215928
92,11658.24886,5837.074528,3264.124339,2660.563123,1193.682802,1106.032832,1083.348809,930.5853478,798.2270105,769.3087345,640.3865279,559.6242138
96,27119.01939,11236.39358,5405.459646,3258.500043,971.6631916,817.9252966,2.094965878,1.627952108,1.426828201,1.362655859,1.261917757,1.182380613
98,3928.898259,10552.78937,4414.544782,3539.295077,1537.376397,1213.784941,1051.959445,871.719509,949.6682246,917.0499969,689.136171,640.8606409
105,2752.415829,1576.253174,1073.543999,1024.757915,792.0591797,753.5004283,801.6799225,656.8896587,639.8333197,1.111364407,1.10805097,1.098478059
106,44651.84779,14654.4897,7078.160175,3944.441895,2307.833992,1713.043882,1647.731852,1182.703169,1133.59667,1180.962975,793.596426,632.4159018
107,2503.629398,698.7952871,758.0462581,719.8497964,756.9949046,749.9825609,751.9666952,640.7417967,636.9474913,638.3678197,618.7990548,603.0976944
108,23606.06942,6184.414959,3414.519586,1985.466847,1939.692889,1223.403421,1365.387852,950.0606523,847.8987727,793.3242891,613.6523081,1.188463405
116,2784.182681,3534.603238,1869.832213,2046.15757,782.8987676,756.2130495,749.554603,690.9178518,643.6767157,656.7510733,639.8874363,604.1733403
124,53019.35738,19402.76703,8067.221467,4571.329163,3930.687189,2656.524458,2248.297786,1994.893486,1591.153324,1312.501194,936.7743116,779.6808477
126,2605.527407,1403.786487,1253.91181,1448.448785,759.286637,664.5361093,1.203283859,1.156032363,1.151106739,1.101006807,1.103559095,1.091262293
127,10275.27206,3964.246637,2431.62038,1709.212935,802.3812919,1.40665802,1.666402236,1.313172583,1.234622193,1.249667832,1.199372682,1.158016859
128,2940.899014,1144.698809,923.5356337,868.7475745,809.350671,765.1844486,966.4102024,799.8315423,708.090124,674.6096513,640.4014792,616.3247654
133,3923.279943,1069.683987,941.3098044,945.5160675,836.1944425,785.8916981,1107.616917,876.8236247,720.6600321,696.9527682,663.4227441,623.1725632
135,10063.08048,10332.74705,5636.704792,3108.335849,1765.323672,1728.44494,1688.136532,1231.869341,1062.720901,1008.1668,751.9076012,727.6162728
137,33297.47113,13190.97731,8523.383028,4655.512871,2298.788561,2.471940495,1.862336739,1.920733696,2.110855974,2.001147115,1.330088762,1.171206522
138,13503.51555,5486.014886,3321.227741,2931.748903,1137.471102,866.6466377,1105.257611,958.732883,772.6264062,765.6871843,658.1249479,588.2169051
139,3288.637489,3337.891458,1983.879648,1505.140563,1541.595394,1241.45117,1068.569736,893.9186052,967.1253813,881.0669331,680.7820298,626.5439785
145,53142.93265,18850.12868,8680.230472,4932.783888,4943.773504,2902.215797,2296.046289,2067.912269,1613.778296,1316.400605,936.4506889,788.9443744
146,6530.878363,2694.843763,1585.678906,1259.864293,767.6947951,762.8978487,902.6220371,647.6423192,643.6302726,1.345801078,1.126661925,1.147243459
154,5332.578468,7721.839334,2929.35981,2978.37922,1264.20912,1080.790434,1295.781817,896.8478697,765.5435123,704.7165855,681.7844759,630.4422152
155,5511.780752,3278.510508,2108.769166,1679.197044,1097.422361,1056.01698,1302.535567,964.673941,773.0673549,719.2849703,675.2975939,629.2563256
160,17593.8031,6592.050613,4285.310772,3408.770798,1171.452335,1.53703193,1.724093691,1.516264118,1.410401773,1.440066912,1.243906559,1.167358379
162,2526.679601,669.1987258,399.480934,380.2870198,742.2429219,705.0684213,719.4479725,619.4003476,179.5251891,1.101432882,1.103171654,1.091262293
165,2445.44727,803.4756757,608.862519,515.0141226,750.1369669,706.5144295,723.0089284,645.4599035,635.6257531,638.1208755,619.0163812,601.4012394
166,26615.6936,9755.678652,5806.873736,2998.598968,1650.901457,1299.861812,1238.146274,990.6565849,1035.906248,1025.86948,675.6573158,505.3032698
167,8455.275958,3260.811733,1896.920726,1504.638275,1345.798419,1098.795239,1187.195182,879.7862449,803.3924779,780.5728398,651.3690129,626.7829306
173,3578.190987,1131.463606,875.4206725,648.0378214,757.6536163,751.5547077,898.385341,664.9608101,643.472179,580.4124144,1.112336407,1.100013983
174,2888.130069,1342.251855,1161.15457,917.7143984,1054.338299,1020.956192,1055.767195,865.7547189,755.2569648,691.5230537,633.0699557,618.2305399
175,5250.901051,738.1024563,713.1105495,568.3202162,784.9206694,771.8619612,993.0066979,720.6231932,645.9502137,1.156426908,1.152037024,1.115552265
176,2449.162987,4152.023569,2173.95348,2320.013147,750.8242001,709.1366256,726.4570322,639.4578591,637.1407896,637.142809,636.097429,601.7637063
