V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1,7052.948396,3127.160688,1733.562127,1378.151187,1295.31,1132.09,1122.14,899.65,809.17,732.87,845.36,709.84
2,4564.68552,4835.113891,2720.778434,2297.163763,858.06,819.95,925.47,888.49,727.88,689.21,655.54,614.54
3,3465.555039,2003.420803,1234.895718,1031.374002,794.8,729.66,811.74,759.63,707.57,667.72,645.04,608.16
4,8377.017572,4394.155675,2900.260773,2446.574097,1645.86,1794.48,1150.07,1006.36,831.67,822.38,635.06,584.94
5,4118.751593,2165.824032,1001.611318,811.1860025,780.09,751.05,822.97,708.28,651.14,667.17,645.22,611.95
6,13079.54724,3936.345839,1124.778569,1106.454957,781.7,735.37,959.51,751.36,656.5,671.23,657.45,619.89
7,13785.86694,7080.397131,5214.346368,4175.472118,1807.82,1652.2,1490.15,1078.65,1073.84,942.86,807.34,841.05
8,4269.218488,2368.456787,1393.555625,1093.053692,728.62,687.75,727.6,614.81,578.52,616.6,612.63,550.94
9,6320.321119,3422.897671,2147.856803,1790.452282,1523.23,1324.41,1191.19,966.07,821.42,724.47,798.08,671.99
10,6614.887888,3169.229191,1723.865296,1409.111255,1002.59,965.7,885.79,845.72,673.46,717.35,670.91,668.83
11,95141.5732,37200.17155,10871.07043,6652.585755,7.16,2.73,2.44,2.24,2.03,1.71,1.98,1.5
12,4408.102155,2242.826277,1189.464296,1370.515897,976.39,882.23,957.89,892.55,755.3,679.82,652.69,619.34
13,56444.44001,16378.79051,7477.736018,3102.601019,970.8,1.51,1.85,1.43,1.32,1.34,1.33,1.3
14,5137.980611,3034.801522,1959.137188,1689.725743,986.77,882.37,758.92,641.79,586.64,584.07,573.94,552.94
15,2182.38803,708.9417712,821.9117707,799.8670567,748.56,747.6,755.78,639.07,637.35,638.86,636.32,606.69
16,4152.506911,1429.756272,948.5178368,1060.574954,1078.25,894.18,833.34,753.34,655.89,681.53,784.99,670.33
17,2063.987086,1318.441745,963.2258941,1003.878158,1086.38,859.16,784.6,704.02,613.77,607.56,662.1,595.69
18,3927.126367,1830.314791,558.0149423,660.6197173,743.58,715.86,778.63,647.31,643.22,642.14,638.71,607.02
19,12810.34096,5814.1262,4360.663114,3061.86675,1821.49,1668.29,1453.98,1023.53,1055.79,906.58,763.01,817.64
20,2148.374071,1430.251052,1020.909763,1005.500268,1054.07,866.19,772.53,696.75,607.9,612.36,657.78,595.74
21,2977.69478,1932.674864,1292.912315,1208.865943,821.4,784.13,856,813.56,714.4,662.64,626.46,609.59
22,4269.218488,2368.699789,1401.837875,1110.81666,768.25,688.34,745.01,624.08,576.75,608.72,607.92,542.45
23,4695.024285,2483.864163,1609.346229,1334.404537,1744.26,1459.3,1420.04,1068.96,990.67,1098.83,998.17,761.19
24,5739.809291,2544.006038,1452.736265,1110.9266,837.01,832.52,850.3,652.96,639.92,644.62,668.49,618.49
25,59653.47615,26599.13537,18373.25964,9521.198328,5009.89,3.29,2.16,2.23,2.56,2.15,1.95,1.5
26,2872.185071,1753.723218,1102.02599,955.3720483,755.58,748.3,749.04,638.57,635.97,638.6,598.77,469.07
27,13142.57345,7260.580192,5459.499572,4353.133985,1720.1,1502.15,1426.22,1068.59,1056.18,945.66,792.52,824.78
28,7652.445549,3282.166035,1794.38859,1536.423831,1348.96,1237.31,1495.1,1011.7,855.21,892.39,951.9,836.85
29,18903.58289,9278.384832,5710.847679,4429.052972,7210.8,4059.48,3598.58,2178.72,2306.56,1977.95,1695,1561.66
30,2114.026676,1425.816213,977.1010124,967.7098165,1253.27,1147.42,925.9,962.96,646.35,690.66,678.19,603.22
31,35813.85264,15998.62846,7603.084959,5161.043847,8605.96,4693.13,4002.65,3192.67,4337.23,3692.76,3179.9,2582.14
32,10154.78748,5378.466716,3990.376072,2500.504845,2038.04,1852.11,1638.59,1175.64,1096.73,907.45,838.77,728.02
33,15285.87888,5978.56449,4424.89756,2745.82912,3451.74,2713.33,2421.31,1586.89,1659.53,1568.73,1274.98,1110.78
34,5297.439779,3406.163394,2140.802968,1732.628547,995.18,904.66,829.76,667.36,610.49,593.57,605.17,557.19
35,4247.478767,2496.855986,1573.607577,1305.356422,845.74,719.99,734.38,678.57,557.64,600.76,559.15,556.74
36,16072.94994,6202.033197,4530.738877,3109.530245,6843.26,3840.6,3018.08,2002.09,2070.06,1639.43,1433.93,1358.4
37,5204.219887,2720.657319,1549.352021,1241.793712,1475.98,1232.89,1040.93,841.36,787.55,886.71,887.75,799.53
38,4934.47263,2460.975983,1539.235487,1334.212539,852.09,792.61,836.14,653.49,608.39,617.43,635.23,564.84
39,4183.072561,2359.072032,1393.555625,1093.053692,809.37,777.45,802.9,630.7,604.93,611.37,605.96,548.96
40,3483.04092,2603.266717,1447.287358,1305.861854,1378.06,1147.83,886.92,772.57,704.63,710.37,735.74,607.58
41,4055.593142,2140.75387,1317.551608,1048.438345,819.33,796.57,1012.44,832.14,727.54,672.7,647,615.24
42,2041.168785,1312.310524,1008.85277,993.6719587,1056.04,847.64,743.29,698.43,609.8,611.97,657.41,599.04
43,16054.24037,6928.777384,4246.138619,2595.429794,961.44,846.2,1224.79,980.95,812.55,748.76,885.43,762.33
44,6597.874182,2677.471837,1731.211115,1378.151187,837.27,771.8,778.4,640.78,639.65,640.94,659.3,641.85
45,5198.283852,2480.752781,1617.98888,1344.980269,814.33,731.27,738.1,632.27,609.86,629.46,617.18,596.54
46,7665.954519,6092.763896,3182.455897,2038.166893,2248.41,2057.64,1561.4,1443.39,1269.67,1090.59,783.96,652.58
47,7379.636803,4560.194708,2516.574867,2305.371255,2198.71,1301.21,1385.99,1007.71,921.05,979.68,723.62,657.97
48,38816.85609,18023.96327,7842.726301,5532.704578,2398.32,2173.58,1990.64,2152.57,2187.62,2253.12,2406.33,2220.97
49,7699.881111,3686.516779,2233.975376,1799.653018,1600.95,1412.77,1564.04,1039.63,892.24,791.24,887.09,737.18
50,4045.00149,1916.177718,1529.274367,1309.256109,811.72,662.61,675.12,606.97,555.87,555.62,549.58,549.57
51,13671.4683,5731.282518,4234.685575,2612.653874,2086.25,1924.09,1915.41,1248.92,1189.12,1041.46,1001.89,880.89
52,2910.640069,1805.142955,1090.937961,925.7333912,754.43,747.26,750.12,639.07,636.5,638.66,619.01,605.23
53,29103.15702,11262.37884,4654.162074,3125.212476,7053.46,4076.55,3335.41,3059.36,2793.21,2282.09,2335.29,2112.14
54,9366.638062,3670.419936,1099.607996,911.2540796,2.01,1.69,1.85,1.6,1.44,1.3,1.2,1.19
55,13341.3025,5801.515784,2111.773785,1769.887649,1243.17,1159.07,1033.65,1040.57,924.27,949.24,1139.07,1040.48
