"indices","","","","","","","","","","","",""
1,10177.8425069735,4982.67589430613,2299.46896065816,1642.32995291163,1320.3605669111,1162.13482243151,1262.11739594047,926.238637143517,828.594751228277,785.101494820904,891.92943703516,763.938598320888
2,3253.04428147977,2261.2868785102,1547.43963900051,1563.81411419457,935.792138042489,843.712068958071,894.478790730158,789.537388244351,672.478237865415,707.366212580303,618.528998337357,582.767198692925
3,4866.78456817654,4582.48914740978,1650.42686203229,1262.49532136007,911.712461115896,1032.53791013791,980.83326176279,798.122350099133,768.294276167253,763.314575579813,736.44334740692,597.109156509594
4,4224.95275141882,5306.953159031,2656.32229832939,2127.28214862047,1914.7549085535,2311.13632560318,1309.23454624535,1244.93272445952,1018.82461615876,958.260433602182,657.402187156689,624.682054164038
5,3766.2684414806,1749.23278124523,1213.44361820122,1123.16415520536,941.023009233465,846.146859711,847.956298440431,727.503144803203,670.501504808314,687.254938003045,629.20397938927,615.896412059058
6,8464.91390368691,2758.15283081481,1446.95599897003,1301.36593840953,1125.88283668547,1181.76111948874,1143.32521289723,935.04306077868,1050.19763197723,961.133151995141,826.227822761134,826.66215019588
7,7691.75140682887,3461.02994079654,3208.83754037765,2474.92273899502,1864.70799737834,1510.56776934077,1331.6393327597,1045.30969196011,931.796708544165,864.018689691626,750.144730220676,659.498609052248
8,3066.284731088,1489.09229303668,902.225510308822,807.221123866456,709.830439994232,690.170807690626,719.47529713301,601.597939406042,594.725696020303,630.034483512839,599.32468992901,552.28743788474
9,7878.56563272691,4811.03213952885,2492.97943880744,1901.08903425058,1603.91571794176,1341.07315636686,1235.4187754137,1028.93585696026,855.598087741561,801.341232883904,829.420674111067,730.273602487014
10,4693.17761134545,2489.52038428341,1355.1591270486,1350.89447003554,1065.27981463779,1034.07059077866,1009.48405807857,918.976596166647,736.093799852828,794.805892371077,671.807528266409,683.43995671308
11,338475.784748391,95405.6317939404,25099.2352848618,15415.6123363495,9.13586796150513,4.46420770033006,4.46344482660891,3.53829258740483,4.16894049708004,3.52939794681027,3.02037405072927,2.23089902062507
12,4963.82634014775,3217.68784987008,2021.10261665852,1640.51840427259,999.69838317449,1152.41515371851,1051.30905422896,848.021455416189,774.16281716987,717.425315179072,692.818512523342,607.670713270759
13,91074.5252201958,25838.0763036619,13742.7527971384,5123.01704597354,2085.2910157458,2.06465841010147,2.54529040577711,2.01815427494356,1.89301720180498,1.5849019204794,1.6122336092142,1.72622778691113
14,3403.98067643203,1954.4739651015,1322.81843773085,1228.12348117527,944.654763912849,834.565765634319,735.321442308178,648.245593641005,600.349710701827,610.003412781773,570.06415021237,553.685713115888
15,2133.81483879975,1137.36899809284,752.367658296155,665.45373685789,667.71283671508,620.849630488014,609.309896825109,552.716312070365,540.697446150165,551.863367465518,547.037075413547,540.07995150585
16,3787.22723350825,1508.31721050589,985.911907394216,919.208048744165,748.976104564779,680.662728862766,721.407477218148,636.164508740391,621.667191603231,638.321838462804,641.527295760232,616.361670308848
17,2409.09330860686,1290.97716376367,984.040964169961,929.700920790025,769.079713860103,632.815692414889,631.874720743726,558.135765169634,544.305648017672,556.570458061517,546.893337288541,544.389875753808
18,2973.39176227987,1419.38346882866,902.227163747674,749.661666983537,693.279503135515,684.545890126796,761.540785429582,639.335853531566,619.147807453082,647.780315670848,606.643328174842,558.766089993651
19,7904.03179796502,3915.4759721941,3339.4973698811,2228.56075869206,1799.58420517266,1529.37170088055,1278.4572289319,988.675163871264,915.826388437414,808.874555412754,723.130488970595,662.532278809029
20,2324.873624225,1302.6576992102,933.639761753483,845.816781741603,724.489964483313,629.84123752883,602.591912004518,554.316916545089,544.987693487927,557.646149531289,546.676690068661,548.113357527042
21,2296.16285039106,1635.55849060572,1228.15395437344,1229.73852666014,704.16002364876,673.457637707905,709.521219607964,666.870245546978,604.677665850498,575.836172410409,550.554073466095,547.02166579328
22,2983.10726875529,1494.7093590291,914.748696692031,902.569123811563,740.401569576648,683.872923774518,757.371110772533,606.032675142221,593.282718740805,627.60713194816,600.957672652807,546.848023009912
23,8128.32594306996,6129.13753480556,3385.26056666289,2431.53530230491,1709.19949286584,1370.12259477957,1371.77753007199,1011.41511537519,1042.96087255011,1087.92363579104,1067.90427271441,853.670866870451
24,5330.56161493535,2673.81064361532,1317.27884732785,968.305143594495,877.989855937917,925.875614004047,941.74573943878,711.324182665555,718.898475772937,662.141029073404,700.850943423091,633.264694556045
25,79715.684582292,40262.0450375192,38989.445905726,13315.5724458086,7781.86171198772,3.32360832729555,2.59486789600338,2.54965579329189,3.39185115323731,2.97967427898157,2.45825030877423,1.54293548079175
