"indices","","","","","","","","","","","",""
1,11465.1486373884,5003.67262227755,2244.45905779336,1516.52858549171,1284.41599008946,1090.31288537616,1204.11431280639,912.103004200572,811.511470271652,763.518092448161,880.535755293866,761.053439747106
2,3939.50162320333,2823.81176996903,2041.62576325024,1594.36806610666,1016.52853082265,961.852843210303,952.191711002808,783.565551360065,724.579217342227,715.902423008895,662.633744627688,592.110784632382
3,3874.13746908699,4145.73778860998,1629.44246077483,1258.42940964601,749.266737580582,792.95174347545,856.467800452834,692.26568976962,696.922505991487,710.407659709545,695.914805952693,579.413192298089
4,3641.3277990529,3393.13339876451,2188.40874425367,1952.65735740929,1656.6303426994,1870.85551008824,1171.17401459154,1150.51815376771,945.527915684422,880.017718009421,605.620376494287,607.263647527769
5,3595.41449238439,1793.30682628699,1149.89475365344,918.377669513797,923.723159724488,909.822777599302,862.712353503218,765.605311767774,724.248231648974,705.179164987422,671.558674157275,629.931726320597
6,7693.88637570612,901.537644266685,515.313908011917,511.90376911969,1012.02867882512,1097.60517100389,1182.57419518329,922.777969177959,1056.10096456195,975.751162616733,814.221728199828,820.865774152854
7,9335.75632745109,3797.06537850535,3290.21802860202,2553.34590101795,1892.48730038226,1528.11095846938,1300.92912216648,1050.88426473539,952.892067820731,890.667733994963,754.861779796176,666.736437335003
8,3785.87825254829,1313.00440002946,900.075371995326,812.562595197947,761.397039031597,727.01945461393,770.789385743652,615.250316274308,598.561812421849,641.672568894739,589.560527391253,554.230863656153
9,8861.79398630799,5136.32035792247,2642.62141367689,1919.32866191827,1589.04873616702,1279.56983336881,1185.36186799885,1024.56557420715,837.345337169826,787.548132058214,822.027102203569,727.040990529321
10,5327.94376292975,2436.37265651735,1215.3273358384,1263.25308662363,1076.22078099,1052.7033244017,994.457245548757,927.493467869446,747.626835384176,804.998495325729,672.823366450556,690.312636157155
11,348147.40322764,107618.366471197,26546.950111027,17255.4827449195,10.0108526743034,4.55521999309476,4.48702484460638,3.41171403869496,4.09531355125759,3.57180972840359,3.02270842547196,2.22454331877245
12,3450.63097233871,2277.2407414337,1340.63998253565,1342.97611859342,900.133890011778,867.553921874985,817.848777076998,744.564534950729,701.288869308416,685.174759288662,660.033895535935,585.151008258375
13,91761.0368277563,33112.1331013667,15798.1733536472,5548.90817627242,1948.15962190694,2.04793484613461,2.61638241152751,2.07928511067378,1.92447404847797,1.63058545133519,1.6210369542225,1.72290834573116
14,4032.69198075153,2040.26446369354,1417.41012853976,1288.98577550801,1006.22947296928,886.364521406889,776.685569407476,669.687495360859,606.737532029669,619.398371769997,564.309170476475,554.825659033353
15,2045.2776058099,1299.30374893013,832.291763747623,619.451447552602,646.266985419537,659.480988886956,644.343919654891,566.446633447546,578.938632557686,562.186015112396,586.094553559431,553.772594973088
16,5177.82604392035,2219.72160471767,1323.91646130298,1130.43271371974,889.839468705235,842.827563543528,814.641561487539,688.218260105877,684.681454379933,661.03083772775,689.402733634815,634.38486220557
17,3168.06840109295,1872.25108540279,1235.56861601955,1068.6386634052,890.91594671804,780.281234417603,712.367857341044,595.061527531229,595.531349507374,568.920267661637,587.190804894946,556.277490391245
18,2923.67590051985,972.203476350881,395.442710638835,329.259049885535,678.332213623838,724.668634141294,786.44284769022,681.640200699737,666.479394081321,664.876696040782,649.148635940573,572.472957566749
19,9524.28591235265,3875.76500564566,3229.22038751498,2251.58079027204,1813.74282338382,1527.33583847155,1243.35505099917,987.994541591887,930.908616255189,833.153680862303,734.73258883113,668.371408159085
20,3243.38880861973,1913.46451206403,1240.11547561968,1052.91810549858,870.410004995374,785.03065805774,685.881262965272,592.268734569788,597.221941968308,575.189262961782,585.621268341988,560.643197541888
21,2089.4757471338,1616.05743597018,1210.69899287619,1138.62936579756,687.335816125309,634.073132276116,658.029700186736,606.199357768422,589.592057724643,568.761956126433,545.198949553467,546.625950780528
22,3659.94805936359,1620.52998938872,1038.17052957348,975.368852343866,783.489533960291,717.20097757149,791.281096118383,619.033041129703,597.910056534079,637.981759294003,592.537026612981,547.27751116836
23,8821.47554345773,5734.08552315015,3167.37429356176,2292.64565786742,1664.20160855811,1327.82606370714,1352.91814453902,1005.86471876528,1037.02182616555,1091.36007615283,1066.91150389852,849.879739358423
24,5768.5521233302,2390.36365667811,1322.32976175165,1024.43212081769,859.761528887628,859.927697571797,874.383270792072,694.999957793989,692.659568889433,660.089322693349,692.87094030226,638.931737820881
25,78402.7005977984,39774.1513122946,39089.1393243287,14278.2729676835,7872.55853695421,3.54530562114927,2.57694028021947,2.53521471139299,3.29877775532809,2.89375272969427,2.42895994504471,1.50854450176324
26,2098.26727931819,1899.67948167555,1179.16091558516,1046.13036660723,619.964647263926,619.23083855087,695.537765862553,592.433804868347,559.564105414987,573.881452087474,523.349295131419,442.948361619811
27,8636.27701806939,3543.81568241103,3046.12339947515,2636.208530903,1742.09904537014,1358.56751192309,1334.73800310001,1047.33887352451,912.890465317145,948.997389556662,725.871680621691,657.331754764707
28,12792.4239283245,5374.12046653982,2366.86539471567,1939.96840723988,1396.76494454113,1152.67600767316,1410.91684995473,983.947323386696,841.451600727296,875.552315669791,991.623145433456,911.120475774587
29,55966.0514650243,26414.5130189013,13749.3710891898,10583.6598196104,7067.60424595605,3995.81029830423,3912.25964849156,2481.45041842506,2439.60303758095,2138.13295255367,2178.13074562234,1667.84761401686
30,3384.09161309185,2255.85267331322,1353.71743218973,1200.81882517895,1114.03111377358,1137.43720704334,795.537621643444,836.073593783296,670.455806776794,677.377137154635,591.835950284601,567.181779814473
31,79658.8365112555,31058.0479134431,13459.650997342,9845.68527887843,7216.46530221013,3962.85298978758,3479.11158581618,2807.49360583477,3868.70234288088,2996.56879830531,2694.26881938321,1899.18316092637
32,12207.5754285807,6732.2107192767,4307.92636070571,2358.83089617057,2014.62706022643,1742.45826686187,1262.12275829781,1082.75846147325,942.147020853023,818.074292545137,819.355355865921,724.043876437573
33,25589.9128632923,12566.2930564581,8334.57260769028,4351.50452731463,2944.3302668031,2335.90906861219,2078.91995032218,1562.27076040127,1478.73322582825,1416.59989167276,1289.97778896152,1098.10103969344
34,4063.2735130109,2306.92647670078,1517.13037971573,1339.27364876168,1013.50166856318,894.030213059465,830.563215256511,692.45535200212,615.520827483632,642.104280362925,590.084292084243,564.615344784658
35,2468.65311214438,1751.95879870689,1079.88939814039,1017.71927644958,854.41624969572,726.551373830761,715.022674637605,641.908664408799,557.787984342641,633.714383996791,536.466169445007,559.361191113171
36,39847.9749616859,17945.9735288571,10690.0033432368,8099.36787200064,6289.34060676687,3580.39596300713,2738.81595150959,1942.19741594502,2094.89749730047,1564.89146837536,1734.93420030579,1362.94523678509
37,8236.18220038519,3481.01440093694,1797.78181904141,1461.84395991734,1168.98949813491,1106.2344988777,1144.18241859572,837.843928816732,797.580097515753,867.111155718161,798.008285983977,766.244740855055
38,4701.79128046846,2107.47060261938,1344.69344769668,1122.9195791949,887.073484213672,847.907903492435,839.556110577749,685.76706019457,672.108138471339,646.594515033835,658.05722195495,580.480370760888
39,3957.51869967669,2059.47584540018,1274.11492522638,1012.19018254367,848.582081346378,845.757858588206,798.552343816356,640.171126929386,650.389091486849,634.567235807224,619.829923919159,558.765102024018
40,4840.94695286989,2616.86012367744,1656.29317804487,1435.92393108519,1136.97773721406,1054.5636070465,919.573040458933,760.864929887935,728.598881491694,717.038028407194,662.337970531845,593.367651058197
41,3665.57416859278,2134.6516134506,1271.76805097198,1034.12464350077,754.638577401281,758.911139988815,869.682013519572,695.026085512598,679.31415884382,653.28308462333,647.649324274464,584.532687763249
42,3201.50579678232,1904.19621147152,1235.91678554613,1052.18418430892,870.690321171195,779.278417770186,683.835936407296,592.276057030928,596.67199092944,569.824143266996,583.8669367092,558.016568233467
43,24183.4147443988,10469.8195030171,7172.95524998988,3483.18613504349,2418.9905327106,1960.32582566368,2256.24868271879,1448.53881336844,1519.14097762608,1590.53561957968,1273.10935019404,1149.236850732
44,6280.41555350904,2064.82790344139,1343.08443058203,1164.62767723621,849.874265638621,776.193357572493,851.851186300553,680.909081826206,660.298966404489,678.67531807636,646.009239346322,640.515064285026
45,4298.45321724247,1680.6963187661,1146.2108421077,1094.33472247264,822.418312666385,731.77450050957,789.691877237649,651.433135386937,622.575449451467,651.850725844648,595.180464659078,586.453634196252
46,7714.36311312822,5676.26349762725,2736.49821185408,1877.64181886916,1399.89642766334,1256.45162295082,1088.03890584703,886.321539030644,742.558619922994,747.599263816051,571.314545497155,406.688285381373
47,8096.68468073182,7364.20470909806,3901.01440379711,2091.76466158575,1390.51159445502,1110.51575579262,1081.455665225,838.343486506032,762.760869319382,752.910057883097,752.775441051784,681.17903746796
48,34811.6164387131,17717.712539746,6678.72986192084,4994.70994473204,2588.71426892444,1762.86060106185,2.65169026635481,3.22669861441843,3.30948106099492,3.03940877700109,3.50794774317411,2.65484797005055
49,13830.647016655,6898.67116767378,3371.26201878902,2514.1647513505,1772.89365550058,1432.83901714699,1588.47068223975,1129.99086830566,964.909994231657,902.242176881554,919.762875560291,822.768137869384
50,3019.87700287298,1215.18610107026,1006.87375383753,1020.34019006028,803.089587303368,656.951413337048,689.600178112313,580.827144312178,544.963206845609,561.168515558861,539.273930001594,542.66690383724
51,18506.1734842971,7978.39865902467,4760.3585739501,2846.61764506832,2119.54005383493,1789.24987368411,1521.68760461772,1222.21525762543,1064.48287779835,948.663132339543,969.209494717583,875.293016882054
52,2024.68381080099,1523.0607885198,933.498157669492,911.759934215958,601.211202256555,600.493862169589,619.027723749107,560.242480678185,542.884427838768,566.168573676801,536.997916399245,539.670612582629
53,72938.1504407762,24497.2034873174,9745.32532295779,6772.30035355025,5677.8627052132,3272.23385710807,3143.2941557463,2784.24891840997,2421.76458516325,1947.18565369569,2388.52846808864,1969.90938399663
54,20609.1357451821,4333.75551702305,484.420690302777,491.927202035856,1.19259029264656,1.04115145996189,1.31192674464223,1.28905810465621,1.10126948432051,1.08677010916091,1.29093403809165,1.29534272526864
55,11531.9344665405,4147.70112117583,1773.21968142088,1423.26361060721,1208.23636643603,1191.51415310161,1315.71507495231,1269.64846650539,1013.28554351148,939.080787887498,1163.7073109957,1043.73024369232
56,4291.96664854436,1702.57616713464,1040.8977459,993.998160973322,818.956354691152,758.967876017408,820.700199828983,700.490795194136,671.593681358103,648.096707500565,623.171385678829,592.385788456691
57,4436.38738232623,2359.81881202997,1540.52054056095,1426.65753631956,1059.16900416696,974.828235459711,946.578221423237,741.806535127255,701.517385981977,689.098262333183,614.306842377716,576.671555237111
58,4604.76496089492,3138.73110288097,1996.05039059647,1657.42110850325,1420.55414431541,1241.22594092202,977.500760361933,760.438629033799,788.613405602145,757.093321206996,662.873182721561,589.112347014364
59,5973.84823156717,3877.8208910541,2004.07601117889,1512.70488322555,1122.40853910134,964.533982129847,789.27560118742,696.571786863865,648.492182387675,643.8648937899,682.743263881787,637.117797698046
60,9139.51249165862,13794.9486232142,7685.59525716491,4462.70766171015,2679.8212444851,2102.63290869658,1825.08933210786,1474.15754649786,1367.27453729549,1393.61185283635,1148.04871677042,985.291030986951
61,4130.01168524653,1733.58203369833,1076.49431122478,1008.36962812112,760.154994396742,725.049439247865,787.706873636631,641.946557422979,615.712405780435,644.773239292004,589.158372217773,563.513158340771
62,4831.71408355416,2199.36952020229,1251.547947761,1009.68772276823,871.950999637695,838.947726572078,816.791239936156,689.76919297352,687.683475575947,657.667857850684,677.968658476238,634.528678812781
63,4200.52761165611,1512.11526311338,1069.76221381342,967.294531019374,784.644569720986,732.311417552047,833.599795571758,657.025367459542,614.997699914396,639.981235589492,593.065996135936,572.575222032371
64,3155.44864592942,1752.72241641277,1214.61313273892,1033.66394030578,861.921238227614,771.445287148081,713.076740510643,595.382257505434,589.596398973088,561.532073228324,580.362292365163,546.280904510496
65,4830.57465263714,3119.38656264165,1141.83458795465,1015.51076653473,0.992117530153749,1.17947964558132,0.935513987279183,0.940509197881606,0.894056307282429,0.898844602380807,0.904343925843952,0.957495129606002
66,3475.74716180036,2140.22555216149,1566.10170508154,1589.24707185447,857.162777285898,866.695777028428,860.882033426,750.114605239186,664.935679023122,709.357625965012,610.59434708957,582.65083965143
67,4901.43838577628,2834.00958987385,2399.55048284136,1705.29197434261,1228.63860046897,1135.86571955072,922.86945811631,718.367142570295,709.401429236418,675.338725808193,560.472283957401,565.739137829882
68,6144.24541894029,2795.21091976845,2353.47192356545,1723.74802125704,1372.29398543484,1156.22457583904,966.763164055163,784.441981403138,738.787986509659,716.251839265946,607.366432410992,600.850846077399
69,6390.7667334532,3372.42637253471,1745.1028558426,1457.55777797167,1223.87229553038,1123.0077449939,1151.32643572306,883.776052474416,765.114553109653,725.852168555034,778.704027411523,731.150585812992
70,2386.76582805925,1560.25679627525,1299.63525185532,1060.78693262804,790.399011012475,760.198574822841,668.511530450245,610.991470072413,601.877890046357,581.507696040046,584.195629434714,556.166848773284
71,2833.47528841343,2065.45489671217,1053.8896102161,1051.16402658425,647.394562162955,631.236687380392,828.037313495069,630.231100734544,604.837540139307,548.142719306916,0.970108664974016,0.922739969496467
