"indices","","","","","","","","","","","",""
1,11215.9765918939,4995.78785529875,2590.64440425186,2050.88119802063,1599.04148589825,1416.30239358554,1334.23873125944,1018.00881149836,964.749836448358,972.148812798173,1061.51656647217,834.815752250867
2,4744.68662283387,2898.07228439833,1585.79836730335,1299.13545716896,1073.18202142843,986.715048519699,861.968311207977,716.972483648372,724.639927906351,744.412958410596,691.822001236426,647.958597053298
3,4134.39406675984,3605.5998177536,1356.3344424039,1104.71505291817,941.752736343564,958.01262756636,933.654995101973,778.776892545606,700.875516522543,739.27659880674,725.817060955884,628.002102327908
4,2714.08684425211,4904.85503431576,2709.61730191303,2094.62918876579,1612.81724718628,1556.32090435927,1171.74000643249,1147.16761987238,881.313802181561,844.805834088771,759.055308256035,746.688367670333
5,3433.65819919321,1473.11535142345,823.394603990922,683.381561453772,644.786378895751,607.354671106239,577.190683470141,517.891839493573,454.468223137627,420.946813967575,424.731545434239,410.496615070719
6,5627.17377340662,1553.45853449975,778.241702296566,795.656908385461,759.181947631857,629.981823606854,704.12439758362,556.016963289368,526.461152880128,532.8697651817,513.504063740994,472.111515617429
7,8214.84299575485,4322.97077519306,2461.32903355426,2024.10922084015,1551.67393652416,1533.85860234869,1337.41944937072,1242.69133844035,1179.83106913709,1136.43424456172,1112.60284288871,1027.01419930848
8,3694.61706737703,1786.29571789469,971.826403404036,869.749778995069,760.924484871393,820.797767662705,790.436657046324,613.634531171677,578.20891716052,585.706139106832,575.491875995384,530.158687670362
9,9303.18738210233,4401.36780463786,2401.38172622482,2035.25832698642,1679.4206772242,1386.8508863978,1213.31288796213,975.657010115303,883.43172809892,883.230685867273,951.311897402585,753.879129029852
10,4201.81361349259,2850.58553090416,1543.79916344223,1501.29332275048,1066.05625602439,1077.34468755331,915.551980149267,786.087257522559,600.398550916718,604.7593400767,561.741541426989,571.236564825878
11,366473.709629812,177334.519866381,59214.8767296191,27966.595821274,-6868.59694433622,-9881.49967216789,-8076.24468848497,-8359.47626847601,-5236.00246039815,-6749.19480580234,-6492.59972656623,-7786.41266161749
12,3934.28373427166,2416.85233597056,1165.43891200458,1064.06992025215,958.550318621429,816.356554381481,719.302526759318,637.349503472986,616.451710137131,613.909272897336,580.000967430136,546.928987546756
13,76891.9616194325,31426.2866929876,13000.7595001167,6037.43897826149,4422.95491491685,-2641.22604336827,-1263.82499928405,-1575.55646681485,-1190.69967830073,-1124.31552041188,-1021.10632424035,-1358.6004665014
14,4181.42132937993,2087.21798950298,1218.05060055172,1083.54762681157,892.146240260799,853.992706777994,801.897293530748,710.742528628472,656.81618844998,654.820859444702,619.027655255001,603.764613121867
15,2385.16885039479,1263.23985833599,647.870679131312,570.345737002195,547.361590102808,534.947433038192,511.406817256966,438.851954077987,415.156905809221,406.043996311169,412.755121528881,391.65720222694
16,4820.17610619512,2229.22662681797,1147.07094570359,973.725191608919,835.410913943675,743.274858755056,737.527472034096,605.854063640448,574.239227387668,561.236242664799,584.950436556354,557.63238824887
17,3226.55082411196,1979.81509787562,1026.7353789019,948.939617126382,804.939095354112,737.622775761389,661.010600630504,570.305641621812,562.491177013055,545.663285453926,521.734375516779,518.179056700946
18,2326.85276263064,1137.51614716634,675.775751408672,592.456691606639,538.413295064047,523.199502651339,504.318383377862,439.919258216173,426.208827148047,405.237015589274,387.893793282939,367.803389323928
19,8440.62300198231,4517.68720514623,2790.38245626259,2302.7498817249,1920.50776414106,1684.49190743032,1439.62647759745,1323.85847936047,1321.70374734339,1197.62620322849,1175.7342697776,1083.38359879251
20,3073.76967730251,2047.06074189305,1051.72175893814,960.918912438256,881.611552955794,765.009900003838,678.539932939,607.327835754184,592.30786800248,586.00233102095,548.223229327957,558.633298378666
21,2336.83599067219,1786.99086098269,978.661437417678,791.506353930473,718.278454296703,576.096433989861,546.377816728705,528.83843667219,467.982596406322,485.348358107574,444.306171160898,439.980723218985
22,3653.33728055486,1712.86302397915,954.769523393318,923.254703997121,755.119796008311,727.038494518847,731.755433183729,587.032864582328,536.321696624665,530.209865786613,520.68947312818,479.065538311931
23,9910.46885786116,5508.28481157911,2624.438384965,2428.91674593273,2135.8576651292,1680.19049094116,1636.4453322753,1269.42150742645,1148.71962178785,1192.42947100852,1097.37883983838,959.303802270123
24,5684.61368087499,2976.08536157372,1377.79162972005,1306.52225208756,1124.19849267677,932.735727809346,923.83802771172,684.247062794262,745.063434142695,689.320747384086,757.812913823431,665.640015650506
25,90952.8558221526,49721.4824392549,25100.9656996154,11282.6320948819,9055.40052785452,-1200.6391502087,-2441.74399055779,-2243.46699703341,-748.537658931838,-1220.01040658402,-2077.8944673201,-2348.3541257868
26,2506.91319814865,1821.45088186747,833.439171031184,717.85354994215,575.55108813453,545.16047624571,523.289397340595,468.718814208013,434.216090129812,442.874003573414,370.832878629272,217.949127034727
27,7536.97337968241,3872.43879693381,2721.34940319991,2300.05368495946,1801.0588521804,1587.6650728128,1349.26204233233,1220.53895045944,1153.24745016421,1142.50616670822,1059.46015727523,1008.27181595775
28,13000.1510097454,5290.52904847894,2431.00334971083,1834.27715431023,1509.18841089617,1271.38749085511,1326.58726965562,925.248847087099,883.466301240339,930.286198908487,1037.03626534812,783.177879559468
29,56125.4059675439,29680.7710496632,14646.2490440419,10977.1677660482,8703.14799700626,6766.09841985965,5281.25498275276,4286.46910633117,4284.82327421454,3948.93017703638,3604.60535090884,2952.69455069126
30,3205.31572235738,2358.40032595228,1255.67648869711,1034.80025024399,1009.19781222442,1037.19531380909,827.182250904644,741.457741260946,591.617969649096,578.859786341401,550.877829407512,556.368043299188
31,67917.7626855292,36749.0308327671,13256.601922303,11151.967855691,9218.59126281681,6170.5842204662,5088.65212139996,4490.18306182395,5349.42918326888,4347.25776405497,4347.16482871543,3258.82556702322
32,11102.2224886534,6688.90737746519,3945.86782554368,3275.2597201243,2789.60698365306,2333.32817640158,1658.80122301236,1534.01698127736,1600.51784249871,1594.28421414515,1585.64429837211,1290.27831393061
33,22893.4007199917,11620.7943152324,5914.24054361553,4932.80060852974,3901.61127463419,2979.70454348851,2728.88968192744,2056.26073368026,2064.52702139814,1927.60392104492,1867.31594159608,1504.65211305654
