"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
1,16233.7803493309,9249.53423025178,5552.14012122695,3972.76137853632,3176.68562529451,2337.62184615869,2109.0169020461,1938.23585345223,1728.51308429426,1604.15550928656,1631.52119537145,1448.64982699445
2,7686.92218773367,5123.09153845486,2918.68449605982,2169.38686072432,1773.13717612904,1532.7543350317,1410.900621643,1216.33686413143,1093.46666072342,1098.72289562481,1094.41305407599,936.700208218908
3,13484.1387754811,12818.2850380794,6507.84408971587,4443.30083706766,4222.86743005245,3213.01543187832,2409.72838024704,2333.97614519033,1968.06040896714,2460.51404529055,1621.56237516451,1455.18831724086
4,28123.0579358528,15261.992757895,8345.52948563616,5169.26859385268,4498.16661191591,2982.9886731213,3412.20571913395,2682.68661055991,2429.81375948261,2306.4365823706,2186.2236859365,1883.49008664791
5,6786.46794437341,2922.43077367079,1883.70987712477,1468.43782406574,1042.7305967495,1031.7373031398,1124.16956314085,885.936208945263,748.885756883799,766.755232170518,754.071084552609,734.012993644085
6,16793.9676148956,6030.88076839349,3138.59664500365,1878.83170781471,1661.56316326358,1550.01417420048,1601.52067884235,1389.81965147235,1309.85076898339,1332.90712528275,1237.98861942231,1148.69785419367
7,6149.97733815649,3117.46150473389,3064.09923299746,1580.56245934124,1139.60256062402,372.44040163708,297.344669698635,212.58706301749,167.03783842637,165.586773882742,136.704139040493,130.004907200548
8,4885.70129080272,2252.46331668326,1325.89155486391,1102.25601066823,766.034398935394,757.922943084222,950.722616843675,723.241860358319,640.051913594845,605.866564894349,639.210988827323,573.068974246438
9,8138.52754041937,4702.40832582523,2513.29625971004,1871.47978709736,1521.87971256137,1214.50138509954,1451.64453251932,1137.11233404115,1026.09927966738,1010.84737089385,1066.081109497,927.659231486804
10,8609.84886180755,3587.41433864055,1922.60108057742,1338.05786378516,1058.24908873787,958.521432402043,1029.81390971623,919.940725954103,803.038074713559,813.914027539337,867.356492166183,846.366542749729
11,2982.80208493411,1734.47396680608,1734.93715925255,967.303732448166,705.453409025334,202.083060239266,217.443993061036,172.547903455548,177.551321783502,157.927862872119,179.918361825948,173.459373601458
12,3418.66342363493,1952.98128140033,1400.97050085614,1347.20740091436,1021.77040953442,960.895966474474,1115.5418430903,850.717167440227,741.915294212142,667.986942932753,682.908528494677,648.845175679663
