"indices","","","","","","","","","","","",""
1,9254.22693248582,4218.65272185562,2226.70877629779,1787.00696088198,1491.16006821105,1319.12147141447,1298.03049610825,1028.03144367178,897.16450544774,924.716335946157,968.891009066218,857.131010207382
2,4614.39419073523,2700.13353923645,1557.54558343783,1230.86898853024,1040.67718750128,963.851677186752,884.156215196162,743.550686581787,702.213558277666,704.003612027023,652.806864895887,620.6136062448
3,4384.37357738114,3243.91587305073,1357.24994759953,1169.46625100862,986.599777424572,928.702964514068,876.76764602352,715.623961591841,650.878389038665,696.673148494514,685.143100136568,606.630609245253
4,4523.82940189247,4335.98643857661,2381.18619893201,1894.93185481316,1466.3071533596,1204.80270928824,1030.99235079964,890.198050700766,843.097958812445,850.294296012002,784.779199275159,736.55815548956
5,3925.42881021167,1919.50893711557,1029.27464478116,859.411693356498,751.561483941503,705.922957776933,662.255818544119,550.740020964288,511.635638211157,494.00981054154,468.821043102005,455.319408610154
6,7649.70815025286,2798.38341141827,1436.00386780311,1171.24800134877,959.881338096757,886.445430050158,964.801464193064,786.021278579054,719.165733025112,726.795709356077,702.589228211572,661.051020386645
7,8448.22851394759,4347.53244571109,2540.16771586628,2099.01215693264,1742.88759115422,1626.04057580279,1351.19896382843,1230.75233709235,1193.13189984196,1198.41293814646,1104.42126588025,1035.48068012465
8,4096.19193383282,2004.52392845217,1069.54630338274,968.127527725625,832.826283671786,827.922037165112,798.249371415842,651.179975295293,608.10730883438,604.592201449503,587.250455100001,546.412373254616
9,8634.09177793212,4264.34820052891,2278.68934516857,1906.30689092771,1584.19013218063,1398.77280734857,1321.16466700923,1094.82419168116,960.611711460824,957.225280300577,978.946873232944,872.265754260845
10,5142.34511355016,2679.43704818033,1537.07437852795,1404.54492270636,1020.14586269755,882.211110946185,852.648682367592,679.525116263722,617.925387568829,628.788581930129,606.468662921338,584.164903139913
11,130720.483751562,68927.5785372048,22746.4167785849,11605.6432182614,-1295.4877428063,-2623.20652764491,-2056.49762584229,-1467.54130436497,-1294.69401328613,-1331.6015060334,-597.632729001666,-1247.15554813802
12,3723.0862038814,2150.48413542693,1096.07293704115,978.355785489954,851.260898048358,761.097472754639,710.738158255619,598.307002825346,557.418016263072,551.668925120684,510.526348236521,492.863720829973
13,52807.8543089162,22556.0920138334,8473.66108972641,4614.67917036226,3748.71902391508,-1157.75882263649,-379.275212291492,-576.065751844606,-583.693180801143,-512.698377214636,-236.749636273241,-494.148791461468
14,4240.84704110338,2243.65038460499,1275.27208690434,1094.92647622607,933.954103002088,889.967577174672,821.647398277243,697.11601116719,652.834530237665,656.580851594496,600.894467257341,597.616349143323
15,2915.88355444044,1611.13106232873,793.735285915381,723.72742081845,659.893013085088,625.834982787095,602.346824449017,507.198525120339,482.698582063081,465.977222563259,451.925100654241,438.721610442898
16,5090.51284973907,2365.36854388568,1236.94066583713,1048.56091258721,898.147785027433,801.327763626145,795.452327309615,654.463798079626,612.872097232454,603.746312694421,606.242739738535,574.211260424208
17,3635.79018381023,2108.37083415049,1126.73114830522,992.787400158564,855.643168845185,776.756441147076,712.720716022357,604.622615267367,587.526632173073,579.96779928919,532.749913418913,533.047113081044
18,2797.19931795684,1597.75557840277,830.390328844783,738.104367387004,642.709138040991,600.157235728827,579.909750366038,478.540242825885,449.646477222425,439.75803011974,428.927967983141,398.378840966709
19,7750.11490603262,4234.02054042018,2472.1326981502,2072.38689426104,1763.30105009994,1582.37477771091,1310.66651436975,1191.06751916084,1158.36895063296,1138.82898548753,1056.14372582929,999.769781517798
20,3412.99798721254,2145.06454074997,1113.43834855036,1001.13006734307,883.901461955434,782.754305129838,713.226824588615,621.29528722358,582.510357968526,578.565750329965,549.714463349417,542.885059318292
21,2892.31955852003,1974.34986307428,1081.37621484566,885.700578836961,777.767118589555,677.189333862978,633.23957824934,557.373819496175,516.436911049403,514.512586804206,482.768271425119,470.291304876965
22,4097.92434291951,2009.49382318015,1072.12274721481,1002.62174158187,832.383956360746,807.034603165302,790.106927793135,648.870901686288,603.584252896307,597.775557497938,571.730010786893,531.948931047311
23,8972.47932202647,5438.57907508092,2659.85949026969,2234.06175081195,2049.27270392941,1622.27974923907,1535.81574810911,1292.93222674458,1161.17995662968,1200.97751907952,1190.07303062502,1075.30932773141
24,4978.9997422801,2518.98584332616,1224.95554961169,1160.68933245712,990.31308547776,858.416847977689,886.509322133566,693.168702719747,663.187318334172,634.795498279222,653.620692437749,608.78149425718
25,57821.5371276374,33147.2743624671,13555.330660667,7459.02377293362,5958.97793850259,-295.241832162239,-808.475239413613,-388.42344279205,-323.946639854622,-346.224001293447,-266.828373323294,-630.826868441052
26,2824.95875466643,1899.75545621283,889.931294557824,780.917836681044,635.748025116639,603.974572637707,586.829738756879,495.904927859037,458.44631699282,444.68672783861,377.777560207886,218.393304982989
