"indices","","","","","","","","","","","",""
1,9441.75241577914,4221.68067003186,2182.71775250776,1717.63493703222,1415.67383355012,1288.70882557454,1288.30533978563,1021.17969725135,883.061723812959,913.606250590853,958.199599265479,855.756107610982
2,4665.63975439289,2649.86955464108,1558.90267607768,1226.04510285308,1043.74449219311,956.262429954917,881.007331218655,735.949342316847,696.234831554174,695.587967890929,648.223853461086,618.668123955912
3,4341.94156141618,3163.10918172015,1343.77641034147,1147.8546132182,979.293606339645,911.602820248391,870.118058837928,702.797098663433,640.406523927134,679.808858208522,674.196413278476,598.56848443706
4,4750.38998996424,4290.55143158741,2368.04193850391,1860.22331669566,1451.89030290418,1203.98977680873,1024.46449786276,883.300747473974,835.181303274406,839.971652984831,778.538801055508,735.043168777883
5,3733.01726492266,1930.89348781326,1030.39467253216,910.443475579227,774.288142676672,705.107083329902,660.960884854331,551.122602156034,508.83912911332,492.450565774031,467.337188940967,453.263953422193
6,7587.63712676087,2850.15283355186,1440.95703115326,1202.97769901738,979.334054028107,897.916253071921,972.601372708786,795.91357505184,725.918295734461,724.453791976952,703.035103044934,663.484941875281
7,8269.48966113006,4312.11239528431,2528.47848016402,2128.72460047005,1777.37016785625,1634.66384149681,1363.02247132335,1244.32952733788,1195.68570897933,1198.01591384034,1107.41270813422,1044.74505230774
8,3831.46990057323,2013.45736654586,1078.59299127138,1011.71924006625,856.924540596519,829.946703889143,799.893603021034,650.258269965746,608.379373992059,601.680697562537,586.595889710428,547.343236438111
9,8199.31468805466,4284.48465796524,2286.73598448405,1973.35672681321,1636.5633822308,1383.36908854115,1316.738913697,1099.04113802727,946.179685208852,953.847111179215,974.200651631997,867.670747009925
10,5345.12198581469,2624.46018625319,1532.64294683972,1382.20431408062,1036.79338368538,885.464147355365,851.147251387257,678.907729162428,617.397950758342,626.84446950274,605.02113923894,581.807656596749
11,133645.325836251,70905.1828265271,23388.6854649361,10980.5924340261,-1337.3372183746,-2633.95843473528,-2050.65150750646,-1514.66332528426,-1323.82258851022,-1341.6905278667,-695.698621481266,-1259.28236683677
12,3810.69729154074,2127.23046611956,1087.93279641066,974.138631194498,832.722712230486,762.917383657682,713.405030292342,597.143435673735,556.061480383244,549.172843533374,511.65296288596,494.018318599419
13,54930.4340614684,23636.8809643825,8821.71344312391,4614.59448005683,3999.52828864036,-1157.80525286885,-407.400381230787,-611.982896631372,-597.794198751956,-533.513685480008,-277.151497715856,-507.016633062273
14,4042.97952305056,2295.43772067415,1298.35201977965,1160.95263937746,977.961282551446,903.577286146817,834.146344736717,713.91817975857,664.367398220713,664.395338108183,609.324775946695,604.132992457003
15,2737.88642058031,1637.22846869085,802.122066015014,775.238326929576,676.189880624536,633.018616754554,610.341308528593,509.55210018849,490.289284809721,473.720627257075,458.704407568992,445.608433380955
16,4875.97768538335,2388.07138599145,1249.51902235258,1116.56705779959,934.313466741466,795.682259624615,796.27413867858,655.259520468345,616.0037787279,604.789012801042,605.932418804172,576.072906876721
17,3484.36646682224,2087.97538510613,1122.29294863017,1007.6127920025,857.576580322066,778.606113246279,714.241862528713,606.795257935624,589.059575348007,583.642910399389,535.290917459934,533.334878748332
18,2861.51188356751,1618.56069922976,826.393253505338,729.498738254734,625.363043234383,596.279394495625,580.326795306471,477.174744759596,448.621641021156,435.998784102548,428.969207427372,399.788664044485
19,7911.09114482527,4247.9941128608,2409.55544966341,2024.5966450637,1702.61451314826,1557.18605354452,1301.96693901999,1185.08858751103,1140.31242324889,1121.33092928487,1045.85644585234,990.741157612581
20,3529.47079549613,2127.93765737381,1115.27670252556,1003.67488762633,864.365524669164,787.981326086956,718.663432625571,627.134293519364,588.268006438664,582.258195045218,556.027151960785,548.483732890007
21,2993.04417409641,1987.11443983662,1082.28393657631,890.184367677518,754.226179639788,682.073930555073,638.969811799592,564.633437431977,520.709468920363,524.626173564384,486.629799493509,475.335531587781
22,3876.11386199439,2024.16489749243,1084.00533801121,1051.80378954446,863.469320665888,805.696619653843,789.985220521734,648.350942288167,601.21881509649,595.822462226232,570.696281244365,534.138701605153
23,8459.96991017251,5439.88710876093,2671.40473996887,2338.69618941676,2104.59379530692,1615.36442891291,1531.20329501356,1280.20871106739,1149.93688662509,1198.16264535016,1182.25655737897,1070.44327969358
24,5121.28796266989,2476.94935101311,1216.93940999223,1140.49779133206,958.097440881137,852.205722294786,885.658053064495,688.38131830997,666.209239086848,633.032443196814,653.041084915996,609.653298068733
25,56603.3677184765,33129.6734066467,13779.2970634399,7262.57809720367,6090.20066274482,-258.682727309205,-805.327300828216,-405.960918287983,-349.344717638762,-332.027772952297,-291.631743927088,-621.995345267514
26,2946.00430770736,1890.61889588979,893.851199643824,779.934020950273,637.833395250314,605.362110093705,589.288141570287,496.471321321054,458.524448578638,443.985909757709,378.33313317788,218.467154829509
