"indices","","","","","","","","","","","",""
1,7932.227553953,4954.26358606921,2327.52906533818,1974.25773287305,1332.86661399284,1235.59730898862,1257.72488420393,1015.35570209076,821.103169941087,760.48596138744,741.977965085318,696.312498095607
2,4235.01593568498,2959.6021991473,1688.55182061798,1379.86834646627,1061.91054817151,825.293216966055,782.256340238372,660.06698920951,621.246961847157,631.753308829572,616.579012737838,583.057333762347
3,3875.21480037607,2608.676852416,1651.57807571156,1293.19182779272,1053.20752541124,824.42722686509,781.705966074085,660.06698920951,621.246961847157,628.446496064394,624.544276232986,582.511620292862
4,5236.57334351318,3139.02645552739,1929.64386951884,1587.46360727691,1163.61020165137,892.27355436435,949.517780284791,694.076248103037,628.990235429549,656.888574234273,618.539156269301,584.435025355171
5,3141.56015690435,2148.58935661997,1590.3276243015,1003.03279717646,813.837422851577,741.849394266909,758.043144472715,644.654100860141,621.246961847157,626.679159730646,616.830740570212,583.755992832889
6,6013.03877814021,2077.83954869388,1511.00569190444,1192.59834337941,1162.46123288045,877.758656067916,889.067888436579,694.68523656161,635.359243294389,684.353432789919,661.545824990306,627.499548337055
7,7747.06646927126,4798.5858631734,2551.15053712671,2222.04404043689,1614.90055086915,1393.71498756176,1290.55327586825,1107.13856077655,824.856791397061,781.97142845867,718.314758757895,686.945603388089
8,3084.58203065322,2069.0635169514,1598.35306132486,1174.49001888871,979.278103693125,742.895020930337,757.459094205023,658.957336008959,621.246961847157,626.679159730646,616.579012737838,583.057333762347
9,7532.54759430253,4965.52843928091,2344.04076166556,1994.87044754496,1332.86661399284,1236.12565188542,1255.5565115761,1015.84981667871,821.103169941087,759.849528733775,742.999370712811,695.15981600791
10,4720.55731267584,2482.0191089665,1648.83340386108,1299.09020690012,1053.77067075947,824.42722686509,784.717548756377,660.06698920951,621.246961847157,628.650482282251,619.101613021203,585.283538028707
11,86936.1797878484,36552.3766919628,12028.2575679765,7402.18512311736,9.12017777774609,4.39150481119412,3.52838307763539,3.26200485063286,3.61864402957749,3.30627022923775,2.85308214662231,2.36118789036127
12,3086.0058245117,2147.42500245601,1586.38332880061,1256.38918992586,883.188290078822,742.895020930337,757.772113386737,658.599304336545,621.246961847157,626.679159730646,616.579012737838,583.057333762347
