"indices","","","","","","","","","","","",""
1,20141.9925395596,12956.4429974118,5879.9061004466,3707.99465835355,3144.02787751805,2644.48899716117,1235.1725173637,994.822022429142,801.182633076141,736.009728775044,783.759286460143,716.152849156922
2,16348.5025280007,10964.5198089264,6755.56773586966,4705.58782523643,3927.97150356032,3157.36957982591,1511.22330395957,1148.05904351325,1174.44063688189,1061.31184832875,1023.58781373538,835.047519876932
3,4524.00450084843,3367.7833929405,1777.54978940508,1451.79739975859,1076.49464102776,1106.76942897492,865.842784226251,720.801961988687,696.85693863229,712.380144465754,688.152098524728,617.367074076384
4,10297.6242890229,10723.4654990222,4348.65061775022,3374.09206761555,3110.88631371298,2944.32875737371,1105.62893510462,923.8407770279,845.205034052009,749.267911234106,654.40490691653,614.381465904726
5,15486.2010142075,8632.43751571316,4579.35179288732,3546.49191910724,3036.46840809473,2304.43039206968,1507.16962574098,1167.35386541655,1181.76654662795,1063.53625748547,1025.41012307551,845.853585157795
6,8618.5888655566,3173.94381300896,1805.08413648008,1623.00456444698,1385.44805137233,1146.53911506446,1245.90423139519,962.766723359348,1020.58856784897,909.993801155468,794.711626608007,775.557807449334
7,20482.1984927619,12293.28790883,6394.92842561331,4408.0384446145,4009.39437688216,3748.40953556897,1259.65793136892,1098.03301871504,923.032720970758,847.822377576571,708.555622947046,651.85578625549
8,9591.32590012637,5300.54020368431,2497.63209140433,2305.52705305082,1962.01619183068,1982.91149918012,922.460519305269,785.697355652273,707.317139230968,684.747812781896,645.906399961247,610.523989577736
9,21334.6760381486,12854.1142799659,5348.06184264397,3923.13898579787,3484.88221547621,2818.73178653589,1229.03222971349,1057.17835473159,807.973355415764,745.68500556009,761.349087987409,700.57934793591
10,10767.0498438253,7380.89579823329,3282.1058794289,2392.90795549514,2103.14737617536,2042.47896645148,1025.7524186995,812.361122577432,723.734357072024,692.070870370637,674.302951087515,637.551480765291
11,140960.261752588,69696.0588590573,23560.212058051,12584.2433437169,812.961711198664,-2442.1455803603,3.83537722970386,3.2483518610369,3.95902442184344,3.59207681314649,2.69209244840334,2.33661293555062
12,4058.49579096749,2504.76222464099,1475.89968665783,1162.01557383786,982.177920724147,890.535321123648,900.789686719275,753.182047250743,697.594721153559,688.783713378403,650.296269544953,612.594781409671
13,57264.45402328,26222.2656383495,13739.1691166016,5574.41393337905,5105.81606717216,-1038.88843197654,3.15185736366889,2.75903643039193,2.5113188040273,2.14867750532871,2.06912001332575,1.99414412549075
14,10911.0150183822,6193.11248880019,2995.20535173229,2440.92054724807,2008.69995419596,2177.81738317445,951.324418844967,824.432760168256,713.613999593648,678.273253854432,643.612618103639,610.483895746604
15,11165.3321495037,6754.30305507523,3899.9733786884,2856.31150162182,2495.94541566752,2323.85058631885,1299.53898010249,1053.06211124975,1130.52067820236,1019.75786274733,1018.53088079776,831.62781573073
16,38680.4918632692,24208.7083347313,10166.8007394617,6670.84232240391,6297.09527850633,4462.54888184531,1499.69270287636,1200.53812956404,1199.25479245147,1046.09965102666,1044.96582979105,860.326263791518
17,28418.8845048573,20896.4225205161,10047.0765328462,6412.01020405494,6244.37879837687,5287.5750367522,1410.32242094567,1157.5498491156,1168.63996306006,1021.87250461052,1018.53088079776,831.62781573073
18,10238.8719123526,6857.07021516997,3954.69498669691,3086.34405435673,2507.49746959271,2195.82238516446,1363.99752664793,1082.09027860417,1147.80414126071,1039.43227271563,1023.38850473797,833.106709602315
19,19118.3132517276,12487.6406995268,6440.30622305021,4677.0208142643,3946.47419578534,3716.1829634024,1225.69923609729,1052.40701488723,893.1079197391,799.762382886027,687.369758981685,649.05900293047
20,27634.675202278,21339.7531666196,10342.781788954,6576.23645270013,6401.70453457686,5378.99751201854,1409.09947617247,1157.5498491156,1168.63996306006,1021.87250461052,1018.53088079776,831.62781573073
21,3251.37790220991,2012.7329847386,1450.09234000937,1237.81180265271,913.434626930076,877.862552464846,828.051139931087,710.175012181974,680.831609745758,671.037012768169,643.164559285506,610.288318816469
22,9571.38667428443,5227.20127345581,2518.55003010276,2168.6728410542,1740.84494669292,1767.26411925777,922.460519305269,785.697355652273,707.317139230968,684.747812781896,645.906399961247,610.523989577736
23,22629.2135118551,14887.8183696099,6290.13511225583,4243.60919054584,4240.83996956712,3515.52124332211,1384.19980929146,1109.12096444232,1054.87621106546,1032.02916155022,963.134426975732,807.691005643902
24,10644.9807155964,7095.32979925687,3279.99227264381,2484.36141022516,1906.12916917981,1811.79800189322,965.837127449039,807.530434391355,720.771535966176,689.599492475202,666.272794662251,633.385281053468
25,57674.7913720811,30243.9316127923,19124.144927093,9555.25486236324,7715.07065600002,773.432970731118,3.07074751750735,2.917153842213,3.22146463549281,3.02562436769243,2.40299929190248,1.87007097361297
26,2827.04075334755,1716.43462455401,1158.94805446276,994.778514733818,712.07142848175,764.090197325212,817.222558731384,707.172632771314,676.923425968113,670.698080513313,637.235154532206,550.086616984392
27,18863.1524785905,11871.2279956241,6656.27060429929,5742.54581305698,4360.85864320689,4002.10391123288,1265.54207166351,1107.51934625767,953.626951607061,895.871441210602,723.622958992438,653.343850178154
28,25123.7534757896,13568.5945485348,5152.32968846017,3039.13048997158,2943.348298787,2405.98261042559,1421.18399532197,1043.82088924759,819.189522140428,808.111084672214,857.816551509426,814.247171642501
29,83669.8493906471,56549.4669835575,25965.3915754177,15882.3463145517,13484.4335092508,10077.0693670192,2381.84606471859,1730.25811760643,1641.10102360063,1454.31652105605,1253.64775753784,1017.82430432559
30,29978.0725181962,23612.5316334072,9396.71923206478,6200.26725716917,6768.91342746664,6308.82134506729,1409.09947617247,1161.15458271774,1168.63996306006,1025.89923327976,1018.88420760999,831.62781573073
31,108065.08277395,66703.1303957123,28053.8270445255,18111.9110770965,15456.6765961853,10781.941013332,2474.6309774937,2034.27279553112,2153.80783481866,1872.45391352068,1521.75853016706,1173.28014066041
32,26184.3123721552,19338.8780769803,9582.76968266519,6630.86538609795,5863.50386136554,5371.90787528167,1332.55018998869,1181.50992129449,954.030643557565,831.254118738225,796.773966896364,714.42013057664
33,52597.361911028,35063.3408195861,16211.1935043743,10302.6934819553,8434.60841842119,6151.72133142224,1871.56562579828,1506.2777934178,1326.78481020499,1210.96058872727,1049.51753657355,882.928405106694
34,11277.7816201092,6403.38312744301,3107.81401093883,2526.71473702388,2104.49083648606,2182.71153821022,980.455942099615,834.483730957989,717.232580027303,688.17014965784,643.837337084551,612.561312985111
35,7565.14735773819,6052.75917589259,2624.70627461673,2244.83373337752,1993.71143596506,2108.48111943403,886.635806503278,777.34025905807,699.748162745472,673.422113637863,643.387672092153,610.288318816469
36,70160.3349086926,49694.3715357115,23248.1971613135,14799.9528343649,14579.794699739,9963.17024205505,2007.81195893537,1546.184818095,1486.97876305787,1218.71647205685,1105.36042555481,914.770090140072
37,57378.6345604399,31836.3533588548,12453.681316159,7076.56026164373,6549.78018415009,5176.326646417,1903.93072313808,1337.70574795368,1292.36451502152,1217.60203535673,1143.30794901688,964.967686147895
38,10441.7050317431,6128.23663457033,2634.60172646794,1884.22547852924,1752.88307738509,1736.22474999428,932.697247831978,803.315094476862,714.972869669355,686.258598160343,650.08741098771,614.746339288502
39,8867.97141861532,5778.14728287015,2800.55721762438,1933.18735563934,1798.84594215962,1899.4229633134,915.290544452965,781.111944516088,708.367501519859,682.695029909503,645.487851615355,610.523989577736
40,36595.7903493154,26861.4858914907,12632.4867582471,8787.33198266386,7796.49265911608,6386.54998594241,1599.9024434889,1259.18202243977,1213.01864765105,1063.45335823885,1023.58781373538,835.624161543743
41,4115.26322063892,2432.46721079041,1424.06901287745,1200.65043737836,891.013461661322,950.173390608441,872.094855675823,733.944323583117,693.504433454729,685.184546780214,650.08741098771,614.746339288502
42,28450.9324074443,21284.3942219054,10203.4045059596,6459.03743682287,6331.12224119526,5367.73348053317,1409.09947617247,1157.5498491156,1168.63996306006,1021.87250461052,1018.53088079776,831.62781573073
43,28018.1249088279,12350.2327361341,6592.14552693056,4097.43248061341,3558.39032427694,2662.44077053592,1950.77054889961,1301.50326360667,1306.77735071043,1306.0894141177,1045.83078639411,926.283965454011
44,11707.1851528385,6817.18192068567,3415.76200092757,2698.19931359927,1927.32918035359,1802.70224767785,973.824602022044,808.978289653781,722.013835290383,692.050770456856,663.166234991704,633.385281053468
45,9314.991238793,5637.67583796964,2940.73132786128,2594.10206288318,1922.73114822421,1830.08086281533,933.274130842405,802.336402814252,713.081523774155,686.258598160343,647.05631719327,615.939912710982
46,7686.47376019127,5348.56107590211,2744.25208950861,2050.99537861215,1676.40299138131,1736.864512976,876.74562893953,768.57914351902,696.40218325573,672.088887380736,640.967441867351,567.616652065137
47,34833.4364132623,19866.6291738477,12099.7872016987,7757.0203350349,5912.78069435338,4416.13976628645,1668.38911064211,1183.39760893472,1199.16518431097,1071.77982702099,1068.58870502041,872.014518504248
48,54553.3001187127,29942.1447273454,10242.2605536785,5251.30129883357,4770.88457026683,3296.63320886456,2.77216828612693,3.37201682451897,2.8354636205872,2.62645722085424,2.68455154456618,2.26201865975625
49,28229.287960992,16825.296749881,6954.75749768033,5074.26956585635,4010.99437226457,3159.97328511089,1532.62117783004,1146.283608147,894.036782638727,833.748972847604,805.28852633457,742.965365972817
50,7830.8665632446,5073.70011338737,2773.07047143107,2251.82852794549,1960.52026476955,1795.98326572587,887.405309752431,776.325970825662,699.748162745472,672.088887380736,643.164559285506,610.288318816469
51,34956.9748426602,23121.3207601244,10655.2427913129,6813.44549825805,5985.39401418574,4455.46761876443,1487.10927790261,1235.18113652809,979.023358431198,860.056108661337,837.597538752771,758.313389829684
52,3336.77578861883,1632.86940848845,1066.8307027763,1009.89795038766,752.179359671001,818.595710407425,817.222558731384,707.172632771314,676.923425968113,671.200837615683,643.164559285506,610.288318816469
53,100197.992648411,61172.4256741703,24897.2381635518,14029.6803963625,12493.6955743404,9119.76953005007,2411.98216465318,2286.02544496318,1810.84484350262,1507.18985665363,1634.94148663228,1355.90048098281
54,14224.3882886817,7985.24770642093,2517.41709702589,1875.15807015887,488.374496532908,49.3550803769856,1.87506895185809,1.77538973327369,1.55064442431107,1.45471888371549,1.62688129135615,1.53218019777062
55,19730.590736902,10937.0381650584,4205.06084481375,2362.94319724097,2272.90143015099,2255.03153272893,1272.02321138129,1244.65673740544,926.611911982083,858.892661255373,973.970942940751,916.906120030124
56,8715.51558885458,5474.97568871274,2801.77720198294,2316.87126334945,1942.04160131049,1615.66989652113,933.274130842405,803.34219935238,715.838365782955,686.824481488873,647.91912985954,619.319491454309
57,10395.7725332848,6780.50946889495,3626.11505362377,2869.93609867995,2351.66407742106,2230.64065454977,1009.06795261586,837.447249467348,726.067287878521,697.654680363499,645.063853682903,612.797861492601
58,19226.0371805298,11816.8842526701,6618.74357342888,4606.79103549583,4041.45393034855,3421.35807729435,1515.35172774574,1142.65931104639,1188.38442209601,1061.26118508569,1021.09553093369,835.047519876932
59,14225.3399940091,10661.715845472,5174.3497887242,3703.61377497626,3376.83699732835,3068.74005085106,933.29471777607,849.196754275869,727.772149753189,710.276241744446,726.87249672915,674.720489709217
60,14298.7856494822,9506.67987846631,5738.81392120722,4356.94773899769,3438.91773286696,2622.81247510937,1490.10081687943,1131.04932515713,1071.01308394996,1056.93259727958,967.206060092776,817.039410325616
61,9025.16341912032,5454.07583038054,2720.18900973386,2417.23162163839,1726.35577257778,1876.28519180197,931.155290719088,797.725772377695,710.445951608734,685.055644283051,646.231969041638,611.373601965403
62,10355.8541423571,6610.28676238689,3047.22736374692,2133.31744034302,1943.04461727412,1661.60777491937,943.6390202441,806.522391406866,720.295598331257,688.023160791326,662.948310267128,631.348614405873
63,9410.10202024428,5450.56748589264,2713.42043030985,2583.93396354535,1940.61712392508,1920.09401667314,933.274130842405,802.336402814252,713.081523774155,686.258598160343,647.05631719327,615.939912710982
64,8158.41453755786,5405.69789728359,2855.19538351067,2197.07658393722,1981.61197156125,1944.03223993512,886.635806503278,777.642833235451,701.907740310512,672.088887380736,644.450868706717,610.288318816469
65,5550.71764889469,3804.02098431394,1920.71654024992,1392.92426766619,549.170396036292,467.171039003489,1.53435384389737,1.47522711133193,1.40715804738113,1.34846545299137,1.32254800254574,1.28511627163519
66,4290.97298313419,2289.27679848062,1615.03373868704,1472.00586186154,1062.56599297703,954.53698477116,953.372185028357,783.686150235702,707.975019413444,699.556048167987,647.230001496903,614.679381786498
