"indices","","","","","","","","","","","",""
1,9247.020513637,4206.30990843896,2208.96413105226,1790.26249116375,1479.83267433585,1306.82093577632,1268.48839750225,1028.33094408955,884.16514628783,918.423291853211,960.508759803262,860.376625422718
2,4564.63687721661,2665.2556631776,1513.75869101382,1231.30629802869,1041.55775190774,950.840955490559,861.773649408,726.675289648746,695.495647732063,696.359093298206,648.068729913393,616.114284280692
3,4313.55142657776,3201.26540203181,1332.61327316137,1165.60054063332,982.974754017676,927.263385389276,865.321537170007,715.715683090303,644.141534825962,693.965922142558,680.801002368254,599.756607583915
4,4527.90781468183,4383.2045119392,2367.3552943153,1878.42783682243,1456.68600091829,1209.02082255067,1028.24965553531,890.541365561709,841.965026415519,844.245347743848,784.292534680177,733.922460244125
5,3893.91301788845,1908.66794217469,1013.183941695,849.873743984869,738.347839365468,699.01037903673,656.813688978876,547.979660843297,503.660415013851,486.182385402135,464.456306811795,450.296992927009
6,7606.46721661055,2813.78436575169,1413.24011384801,1153.34840600227,961.451568977862,887.950104131505,957.309455608394,786.532752807312,712.943439238052,718.348953539264,694.601813042587,656.391298181683
7,8478.89527496936,4386.32604394453,2522.48440876645,2108.47400717059,1752.88030717226,1632.73769937611,1364.97308682344,1243.06867260203,1200.49949565967,1203.65260995476,1112.64661622308,1042.78946207198
8,4121.25556344382,2027.4655273762,1084.00829656373,978.318875391684,840.237844826396,833.453977547281,800.623741752245,653.505181935931,610.663837036959,609.895843151504,591.863173517303,549.304927789916
9,8655.87362229347,4299.64496321757,2294.66911129061,1921.49946534869,1592.35195744221,1394.808272212,1291.81002952492,1092.82996846833,943.116991212963,951.6406657211,974.583167582029,869.077251716286
10,5175.38680353436,2687.55294639043,1548.4741867372,1406.55432631699,1025.56002442953,890.075475425634,861.591265851112,686.976709567704,621.360297862193,628.072205043668,608.228618369787,588.583861971581
11,133283.406421927,69050.562626844,23046.2457965687,11711.5643608277,-1313.48605169128,-2662.28375882429,-2045.44234782043,-1488.3653295262,-1318.66019256817,-1338.8409422515,-804.623163400717,-1274.00976238763
12,3664.03470228576,2114.07742269273,1083.26923900679,972.746641809254,836.40671813678,748.163798605077,690.797158480554,582.044228022837,548.533654582637,540.200502075736,506.753802655973,486.168760387329
13,54055.8150159165,23452.0643661012,8753.69047797164,4703.26108409386,3936.78745459842,-1140.5339325143,-388.285573357806,-607.647293719537,-609.227820749206,-507.494493396041,-319.470953739478,-512.035150227223
14,4333.3733199977,2279.39648181007,1295.6685090481,1120.20090751461,950.881086363041,900.446744446268,836.561262037466,710.766200281832,661.565331859727,663.652589888777,609.26752691202,605.960490910255
15,2948.46120017523,1633.77936122097,805.666971503828,737.191510462765,668.818606798048,630.161333630267,602.706778673314,510.944351027791,488.484345143548,472.049799743252,459.017028697501,444.955906005994
16,5152.65822424271,2407.68999075055,1253.30966630165,1071.86627844279,906.42364550211,802.93217169645,803.797640066371,667.582637723741,613.846656372477,605.743923260153,608.437630511414,577.415395308921
17,3677.64158665891,2146.99952678202,1142.3396599875,1013.52503726333,866.225304704378,785.182697259667,722.74559286958,613.067489515819,595.246515998039,585.93847869529,541.430175040539,540.681683474906
18,2788.3262410829,1591.8704782217,830.478413834756,747.216018436486,642.21557539639,597.873962423078,574.228088900935,475.882760133795,447.402051585097,439.275063358159,429.036210321115,397.925486377371
19,7780.69988485598,4256.24352282681,2473.50576418797,2097.45691248477,1769.92238651735,1581.91851565867,1320.22574856636,1197.70282976835,1161.10001049838,1135.85405666641,1065.67576473847,1001.39446977657
20,3471.35749473326,2175.2816786735,1132.2624712409,1023.69744711386,899.044420527825,791.337902222332,725.126756788973,631.126550793952,591.128664967228,583.378926686411,558.152720916115,550.036395377716
21,2903.11993600809,1984.04092124362,1073.64816851926,891.534335361859,778.309377867759,675.949407993125,634.414539167651,564.079296605411,515.601036172548,515.78300401859,482.122358359074,471.167152741145
22,4133.99537535438,2035.28992109406,1094.34050376158,1011.79602955236,847.492612965674,814.941766353036,792.449705860026,652.689223672685,605.004957675227,603.332258324642,574.910560721152,534.160066083458
23,9130.75167756586,5486.92618845936,2636.28335953252,2278.74913577436,2069.88649186387,1631.43326385006,1554.41696710295,1298.00250000365,1160.82169920898,1203.70438084052,1180.04565724849,1078.63304568246
24,5089.38067636729,2548.91750756409,1250.26030250195,1187.00475072411,1004.14325575409,859.824207835617,875.190548503724,691.358057631189,666.607617600848,643.577366058458,662.252067598194,617.710713872071
25,56686.9940859048,32674.228220126,13406.1281753847,7362.12746034996,5904.59650039886,-287.103518004191,-757.650117282666,-397.863784038973,-330.122328954329,-342.911584828717,-346.957556678861,-640.091000819157
26,2808.73156888223,1879.59630025658,873.920584573156,768.368227071719,632.282172718415,596.353382659517,569.921839642425,486.254822719846,452.871129667039,441.480514442643,370.519427295239,214.619623400544
27,7670.70073247699,4165.50476961095,2585.88946577038,2197.00238813183,1825.3724757429,1622.1960288257,1341.68277886438,1220.55376431102,1181.25947288719,1184.7199153949,1092.3428960043,1023.60070366331
28,10913.2516337976,4582.02582456395,2241.46030329357,1679.55216693584,1429.13111718588,1231.85937170663,1324.1972864986,1033.26291648213,908.837915352538,953.104290290262,984.898100324058,883.224523522849
29,35849.5758895798,19479.3990390918,9152.79100653173,6927.79519116732,5724.61006950991,4626.88872547035,3918.94721074671,3542.21112615379,3345.55145935012,3376.18669797928,3461.76490506075,3052.07750367672
30,3605.74601053116,2366.42748287809,1266.71490244401,1035.22136868385,976.080387366029,841.32219648104,739.937128360845,645.127763956117,593.912517242154,589.350589859396,564.160210845512,557.398544688314
31,45884.4109349163,24298.7220293793,9786.68681042807,7749.47183812234,6386.93736367383,4730.25039428284,4440.80168968493,4044.48693969681,3861.90505978635,3886.46191865235,4056.92801782644,3580.74977993132
32,9782.71064657877,6088.45043263169,3389.38409415078,2883.01641904295,2502.44994376137,2102.60028931269,1659.46064439884,1556.56635216381,1439.04254464473,1464.98380101477,1451.54725316562,1309.40868728603
33,22253.2374553139,11696.1685787614,5705.68578071879,4737.54056220776,3776.77653321063,2944.64765271265,2716.88067814215,2279.84008041413,2150.33992851565,2183.95211345931,2205.90397633228,1952.51126252642
34,4477.2263408595,2377.64647020727,1358.32552909142,1158.81622535711,973.718351916525,926.341758996923,860.336002821833,727.871677721631,672.296698950799,679.287885074754,626.581579347844,616.861288452827
35,3216.51777480485,2679.27819514864,1508.59053828872,1231.75837364961,943.031858329854,817.102875946241,735.655987700742,641.908082496597,581.807535046812,582.45125404159,553.195836010444,543.284794536678
36,28476.257245455,16982.2082758806,8344.08616072195,6636.33205147743,5913.91807618111,4192.49434452949,3358.18146547852,3131.43610179483,2982.07247512994,2966.76583948591,3023.71436395144,2665.01671500302
37,7836.49862337662,3119.17837446279,1602.85187743378,1212.40238682781,1012.54396647505,947.392303911709,1022.63185799061,799.027869580797,754.706353548007,755.207906271326,737.360743880824,707.886794991272
38,4415.73989527906,2264.67619464121,1191.24276285488,1024.22467639938,871.144425615027,826.104244790638,775.435167681817,665.241351214905,606.161339101709,599.183995911431,584.930653598368,548.242356815685
39,3972.33087748066,2176.00396928057,1093.47571485066,1027.67414335855,883.132403830715,850.790661450467,818.751790011524,677.87118545352,638.977197001563,626.880192031577,612.469303968448,580.21775800783
40,4645.05598420196,2631.03150165817,1440.93699363188,1258.86339602527,1070.89997231445,970.666215502341,892.981607927214,743.207125873991,709.572551446276,710.281225726387,659.013702993744,627.613982312662
