"indices","","","","","","","","","","","",""
1,9430.64391967559,4730.51854213917,2142.44913751433,1553.5397899001,1301.95338808596,1117.39248486983,1189.38471608765,918.654471207942,797.137485737863,763.423354622303,806.683442136538,718.612049503326
2,3860.0720326694,2526.98022323122,1610.04050865625,1512.74848451102,1044.27961842446,918.787064195877,931.407023564135,755.812748406736,692.822414431499,690.785120521363,639.939848119214,607.879885927005
3,4927.28222221295,4043.9096007443,1548.78686929346,1131.88222770232,1043.03651026353,1068.20002397711,952.400126099142,767.788807326123,745.028310445527,747.30690849275,726.08730740198,628.278986879391
4,6774.27204432785,4693.82678396371,2436.07702410408,1821.08261063247,1398.57549656103,1568.74624186316,1124.02010388754,894.943775397989,875.954374333622,796.045684252955,715.165067432237,626.65360536244
5,4256.17555256503,2202.9038948988,1471.33121699814,1287.16287336174,1045.27840910357,919.164635578018,943.184027722954,769.548788802897,702.365641702434,693.503393693858,642.703610545902,618.600696398847
6,9240.90368982436,3246.72582359009,1724.2296376343,1508.84561474641,1185.05938972166,1212.62206489308,1203.95541633189,960.008982533304,977.75140177487,885.383378638715,767.816574826164,758.51294571152
7,7472.18646856618,3715.70369035074,3179.33699354016,2403.70286251213,1722.72698847374,1424.4961023996,1187.30531922071,1001.78904391698,890.743232723576,842.039391186207,698.940432685085,646.603364566223
8,3319.81516955915,1725.28311166329,1027.3128809248,907.306976724073,875.178595954449,802.073865822104,851.045978845162,709.453737502496,676.222224598998,679.402480223348,639.495802586207,606.998670189676
9,7530.39095397424,5054.76170423224,2542.4077334152,1839.91338468562,1523.06458275421,1261.58171435663,1193.26071253112,966.225851586497,807.994194362026,768.138121186597,780.249957353342,701.134430590508
10,5025.82820329652,2164.54420873402,1288.08978410971,1191.02912319381,899.494086331442,840.951048335823,955.235116243722,745.187515114354,701.670105010681,687.087458095679,670.617588671361,636.818925111954
11,121338.385667736,42276.8650505481,12055.2804730929,7795.42922935485,9.36372579599947,4.41885770663327,3.81759781942109,3.29504509312591,3.92490252654506,3.67127632371881,2.63073533335253,2.30450728959131
12,4892.37204871871,3024.86945684837,1886.92274584692,1499.4866461198,1002.20279880115,1095.29246535405,985.547135919647,767.045137686233,738.45020963731,698.233361213486,675.061013150537,621.423476058654
13,54834.6311421929,17600.9177882197,7786.07789359613,3688.15608321175,2014.49454838206,3.05432471398242,3.19637830005986,2.81170729309908,2.54453741276307,2.17557691315536,2.07603160849521,2.00212420594579
14,3387.12548091516,1996.97231378284,1369.62362644034,1245.22791655832,1027.22950574217,902.276071848842,849.620050042917,741.12028080342,681.982467569252,669.32075802295,637.125212348955,606.740358427375
15,2831.319969614,1513.30354538302,994.600130289045,845.952819946161,873.159684133613,794.030592678914,802.280148935032,702.231137752268,667.341836007282,665.253835121582,636.875058416012,606.564759668843
16,4208.57243985056,1866.0435792924,1136.93833226411,1045.75370805316,882.771168093481,803.004063346424,868.979978120599,725.695907958892,689.217002654835,682.646452103044,652.435871986609,630.47951463184
17,3014.05294631106,1650.29727397445,1223.38589310069,1085.34140459479,890.505583307119,797.266440130159,803.459660834132,702.231137752268,667.581666851647,665.253835121582,636.875058416012,606.564759668843
18,3507.40976987253,1727.33745477967,1051.94666385174,958.271746116847,875.941662160082,803.747250398843,859.861785863371,720.52424638803,681.365383791639,680.561551119262,640.395484701316,607.671429998313
19,7439.94119725592,3893.82039309463,3144.162101051,2129.88140954299,1667.05020092395,1428.29179476064,1164.26589642238,953.352577871898,862.736730942375,783.120082938836,681.058423525001,643.835749160242
20,3036.88541775443,1682.45380916251,1176.21853864598,1053.11636777728,882.737518798326,798.180762132949,802.280148935032,702.231137752268,667.581666851647,665.253835121582,636.875058416012,606.564759668843
21,2892.50300964823,1705.61645671917,1184.73902984521,1162.66376209429,885.349850553385,825.394885001348,823.965960615619,712.897679034265,676.69784883837,665.253835121582,636.875058416012,606.564759668843
22,3335.3798101382,1745.2977052896,1057.80732727642,984.649353257115,876.014888702909,803.417089785088,851.045978845162,709.453737502496,676.465246897846,679.402480223348,639.495802586207,606.998670189676
23,7652.95719409153,6306.0911385912,3353.26915889389,2370.35851806562,1665.01320760514,1367.56922431097,1334.30878760098,1022.92241043992,1037.58326118093,1049.861587951,966.624334473908,812.469477272207
24,5198.37691868158,2718.6978722664,1324.01567242288,1004.76726373873,957.930074178744,969.521195429767,944.810102890125,754.584057928516,728.277898418143,691.675602189315,674.079254999713,634.444460170223
25,48011.7411408684,28197.9364202635,15995.8051133088,8579.96334730814,4173.15421514734,3.81723185758326,3.13708446257674,2.99405505884924,3.25722405481976,3.03335590157804,2.43739311818131,1.87913528268875
26,2915.95439518263,1682.37774045434,1021.51113951136,948.971923651597,873.195928580387,797.98662981481,802.69668308632,702.231137752268,667.341836007282,665.253835121582,628.746544341191,543.294448420774
27,7015.95739823896,3399.47082471362,2757.62040347176,2440.17583608543,1605.00185372896,1260.13286668339,1138.38404835242,999.558344121469,908.509834637417,887.234742918799,712.293004931401,651.134415456327
28,9938.8769270885,4987.53428023918,2240.14323237435,1875.60079059668,1362.35402117968,1146.72564605499,1338.3574005666,948.799886683833,820.286374072737,836.096537307842,865.620526209049,817.812317824502
29,33266.2739350045,17878.789373341,9356.3767675505,7724.6236780023,4524.4477447636,2510.30085961751,2194.7456535939,1584.00731212813,1585.45560117342,1477.33171123564,1240.77874584296,1025.4596779584
30,3082.81130268984,1754.57344071198,1181.54511104534,1012.57503942087,886.877235436754,801.662042424752,802.69668308632,703.412057048549,667.341836007282,666.048371808659,637.125212348955,606.564759668843
31,47157.9791393548,21388.5906690307,9257.03637494283,7527.79436465504,4471.7677043656,2463.58747354909,2251.54714955463,1892.45265256496,2078.63292267235,1856.61018505328,1499.89223829927,1175.20967399702
32,10150.5853528364,6189.75731440845,4025.10798806127,2258.35269869549,1938.14340372297,1647.96992362286,1252.74970128589,1078.66607172283,936.884931509321,841.244720936351,807.876002291098,711.463610232591
33,20201.0645866119,11448.7464045941,7471.92386684734,4137.86499905687,2627.93065820788,2074.21285350667,1757.46896548313,1369.9787022847,1296.73556348046,1194.87402830552,1049.07573973919,883.343103246255
34,3494.02582132943,2246.54021152327,1482.77419957052,1292.44769089997,1041.19600676459,915.280132764883,883.069388985151,748.33771586135,685.877774145557,677.207278727698,637.819120320529,607.445345472701
35,3047.15184747605,1774.33555678301,1193.31365209697,1083.44574899003,880.171403904713,801.57033872541,802.69668308632,703.087504436442,670.597521495786,676.224282960373,637.933705730701,610.394792795861
36,29274.0208412246,14325.6891448109,8242.61154047543,6158.31555762484,4286.9794137187,2421.69914881325,1847.36172918868,1413.7421640651,1426.17942296308,1204.35391553355,1101.07870710063,910.743752832003
37,6093.36365627074,2427.92864439083,1384.37863057162,1269.63016345001,1045.58381322816,925.791384053334,1067.52998480424,798.09887130118,741.363120892053,792.837332560722,707.31480710561,703.050848013796
38,3906.48640467361,2555.71333222907,1432.14422554727,1138.72225607811,957.375692332039,929.738119899668,915.625506325058,742.480963202295,702.494841353256,681.722730997955,648.717093885079,613.478945835812
39,3345.98178109681,2242.20596980592,1280.03813732508,994.002004895729,941.400127029973,925.049986922629,885.894417734994,719.900854505145,686.550451241587,677.243067447088,641.689520832127,607.794590615124
40,4005.64868900628,2090.32222959786,1379.9440689211,1307.3964553492,1040.93543287561,917.514548992215,914.32773254641,757.223744078698,696.78940321071,690.753215250049,640.378783063272,608.553622420699
41,4423.66143203966,2972.8845275109,1464.92344556485,1104.00693596825,961.525879770639,1015.73069411278,931.518731162583,748.98831482727,724.866565051681,689.288167607884,658.220286895825,614.072194307387
42,3004.37829410441,1667.69856965819,1151.13085241886,1002.95675485092,882.347325829847,795.933499368901,802.280148935032,702.231137752268,667.341836007282,665.253835121582,636.875058416012,606.564759668843
43,25724.7122207873,10820.5711088585,7417.55911486837,3941.706223761,2463.65067869234,1968.90602030153,1946.61828666643,1280.71158286019,1330.41194066719,1317.71108206278,1041.2696663934,935.837442265718
44,5072.52368676968,2014.95771297342,1295.29805984516,1189.02027567171,897.962659905405,815.112934831598,892.116067261645,732.283741213521,692.353826525195,685.751944943231,657.774425241935,632.732136480261
45,3856.34995747506,1810.01791815134,1212.54050923866,1146.67783192601,891.49929127714,804.326446875681,863.237064102593,722.744771825075,685.783163664919,680.945243260518,641.81435958001,615.035834658511
46,6952.55753568819,3836.67990922345,2204.02707493015,1583.60851702047,1023.2000755246,923.736011038616,848.088677025755,769.248765690287,680.498852732732,666.799852086394,633.748965468919,566.995396226571
